id,name,location,address,opening_time,closing_time,dine_in,delivery,pickup
1,ZUS Coffee – Temu Business Centre City Of Elmina,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
2,ZUS Coffee – Spectrum Shopping Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
3,ZUS Coffee – Bandar Menjalara,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
4,"ZUS Coffee – Jabatan Peguam Negara, Putrajaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
5,"ZUS Coffee – LSH33, Sentul",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
6,"ZUS Coffee – Bandar Tun Hussein Onn, Cheras",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
7,ZUS Coffee – AEON BiG Wangsa Maju,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
8,ZUS Coffee – Cheras Business Centre,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
9,"ZUS Coffee – Damansara Perdana, Petaling Jaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
10,"ZUS Coffee – Bandar Damai Perdana, Cheras",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
11,"ZUS Coffee – Desa Pandan, Ampang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
12,"ZUS Coffee – Kenanga Wholesale City, Jalan Gelugor",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
13,ZUS Coffee – Giant Shah Alam Stadium,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
14,ZUS Coffee – Bintang Fairlane Residence,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
15,"ZUS Coffee – Nadayu 801, Taman Subang Murni",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
16,ZUS Coffee – MAB Academy Campus Sepang,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
17,"ZUS Coffee – Jalan Berangan, Port Klang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
18,ZUS Coffee – Ampang Point,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
19,"ZUS Coffee – Seksyen 3, Bandar Baru Bangi",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
20,"ZUS Coffee – Seksyen 7, Bandar Baru Bangi",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
21,"ZUS Coffee – Desa Aman Puri, Kepong",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
22,"ZUS Coffee – M Vertica, Cheras",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
23,ZUS Coffee – Pasaraya CS Bangi Avenue,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
24,"ZUS Coffee – Lorong Pandan Pertama 5, Ampang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
25,"ZUS Coffee – Edusentral, Setia Alam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
26,ZUS Coffee – Wangsa Walk Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
27,"ZUS Coffee – Uptown Damansara, Petaling Jaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
28,ZUS Coffee – Bangsar Trade Centre,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
29,ZUS Coffee – BHPetrol Karak Highway,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
30,ZUS Coffee – KL Eco City Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
31,"ZUS Coffee – Alam Budiman, Shah Alam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
32,ZUS Coffee – Elmina Lakeside Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
33,ZUS Coffee – Pinnacle Sri Petaling Mall,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
34,"ZUS Coffee – Dataran Glomac, Kelana Jaya",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
35,"ZUS Coffee – UOA Business Park, Shah Alam",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
36,ZUS Coffee – Atria Shopping Gallery,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
37,"ZUS Coffee – Lebuh Turi, Klang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
38,"ZUS Coffee – Ground Floor, Menara IQ",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
39,"ZUS, Coffee Meets Pastry – 1 Utama Shopping Centre",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
40,"ZUS Coffee – Taman Segar Perdana, Cheras",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
41,ZUS Coffee – Sabak Bernam,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
42,"ZUS Coffee – Jalan Kebun Nenas, Klang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
43,ZUS Coffee – Menara TH Perdana,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
44,ZUS Coffee – MRT Bandar Utama,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
45,"ZUS Coffee – Micasa Shoppes, Jalan Tun Razak",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
46,ZUS Coffee – Wisma TH Plaza Sentral,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
47,"ZUS Coffee – Pertama Complex, Kuala Lumpur",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
48,"ZUS Coffee – Pekan Kapar, Klang",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
49,"ZUS Coffee – Sri Rampai, Setapak",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
50,ZUS Coffee – Bloomsvale Shopping Gallery,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
51,ZUS Coffee – Bandar Mahkota Cheras,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
52,ZUS Coffee – KL Traders Square,Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
53,"ZUS Coffee – Bandar Kinrara 5, Puchong",Kuala Lumpur/Selangor,,08:00,22:00,0,0,0
